,Places,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,Labels
0,McDonald's,3.6735122203826904,-1.9928629398345947,-0.03350276127457619,-0.37680578231811523,2.21217942237854,-0.524452805519104,1.010095238685608,-0.6503164768218994,2.2293965816497803,1.1905945539474487,6.73757266998291,-0.283401221036911,5.351291179656982,-6.085093021392822,0.29892826080322266,0.907178521156311,-0.11688369512557983,-1.4787087440490723,1.9572805166244507,1.2922264337539673,Restaurant
1,Barbarac,5.083874225616455,-0.5237411260604858,4.705936431884766,0.4255675971508026,0.948127269744873,-5.212479114532471,1.911780595779419,-5.333494663238525,1.981338620185852,-1.4960662126541138,6.809558868408203,-2.8079190254211426,4.4280548095703125,-1.502377986907959,1.0968672037124634,0.3834507465362549,1.9988747835159302,0.24563461542129517,0.4216599762439728,-1.1795064210891724,Restaurant
2,Café de Paris,6.644556522369385,-6.354567050933838,8.518036842346191,-3.556698799133301,0.6300232410430908,1.2236981391906738,-1.2096482515335083,-0.6713032722473145,3.6586015224456787,-2.3541922569274902,4.971676826477051,0.13102097809314728,-4.5800862312316895,-1.6035183668136597,-2.146289825439453,-6.355072498321533,2.906543016433716,-5.586397647857666,-0.37433427572250366,-5.736217975616455,Restaurant
3,La Place de Mougins,0.6735630035400391,-11.083386421203613,4.74138879776001,-1.811518907546997,-0.43751391768455505,-3.249398946762085,3.566661834716797,4.167381763458252,4.049911022186279,4.305610179901123,3.6254701614379883,-2.0185868740081787,1.6797881126403809,0.3956196904182434,0.9332172870635986,-6.457821846008301,0.7378566265106201,-1.7370954751968384,-1.834662914276123,-4.804096221923828,Restaurant
4,L'Amandier de Mougins,0.05926652252674103,-4.804518699645996,6.835015773773193,7.253138065338135,1.4346596002578735,-0.48465240001678467,3.3095641136169434,-2.4007174968719482,3.5065159797668457,1.791967749595642,-0.8982358574867249,-0.566704273223877,1.3370305299758911,0.4057537615299225,2.7617580890655518,0.8338451981544495,6.727951526641846,0.5933281183242798,1.4218956232070923,-3.6265082359313965,Restaurant
5,Decathlon,-3.1953799724578857,-1.7987068891525269,1.6371632814407349,3.289693593978882,4.352419853210449,-0.6644834876060486,5.989068031311035,0.9721388220787048,5.104000568389893,-0.7860799431800842,2.0662612915039062,2.456289052963257,-1.22047758102417,-8.303318977355957,3.171739101409912,-4.6186652183532715,1.9377424716949463,0.3720130920410156,4.418204307556152,4.922455787658691,Shopping
6,Zucchini Blossom,3.8694918155670166,-5.740833759307861,7.400399208068848,-1.9431557655334473,-0.6078336834907532,4.243703842163086,-1.6703852415084839,-4.861944198608398,1.4645708799362183,-0.39394378662109375,7.347596168518066,-2.0261449813842773,1.0545839071273804,-0.8101099729537964,-2.293410062789917,-9.07271957397461,-1.3441509008407593,0.2643320858478546,-4.431328296661377,-2.8113863468170166,Restaurant
7,Centre commercial Carrefour Antibes,2.5857670307159424,0.4969714283943176,-0.8356251120567322,2.7746620178222656,-3.679427146911621,1.5888397693634033,1.7380892038345337,0.32182493805885315,1.0763393640518188,-0.825911283493042,3.5629446506500244,1.3980814218521118,-0.17682678997516632,-3.098717212677002,-4.189855575561523,-1.3084193468093872,0.722460925579071,-2.5450735092163086,4.380893230438232,0.5242118239402771,Grocery
8,Cap3000,2.9904496669769287,-0.8545377254486084,1.0601516962051392,0.15576475858688354,3.5030581951141357,2.5022919178009033,3.745500326156616,1.2696475982666016,4.596034526824951,-4.906928539276123,3.6459052562713623,1.395344614982605,-0.018592389300465584,-5.050798416137695,-2.9978106021881104,-1.8830859661102295,0.8259724974632263,2.2623770236968994,5.132863998413086,3.3094496726989746,Shopping
9,Paul,0.29584112763404846,-2.1407272815704346,-0.36231082677841187,-1.2374602556228638,-0.4043717086315155,3.0744712352752686,-0.8098067045211792,0.749167263507843,0.7739643454551697,1.4115016460418701,8.149171829223633,-1.8232280015945435,1.735865592956543,-7.348199844360352,-1.1172212362289429,-2.3662490844726562,-0.40780484676361084,2.0091710090637207,0.6981534957885742,3.7771005630493164,Restaurant
10,Quick,5.478909015655518,-4.2450361251831055,-0.854051411151886,-2.8918473720550537,0.7144668698310852,-1.1745247840881348,-3.064701557159424,-2.3733503818511963,2.2040867805480957,0.5508668422698975,8.695442199707031,-1.4397168159484863,0.03614401817321777,-7.884011745452881,-3.9891974925994873,-0.49777084589004517,0.5748118162155151,3.8571383953094482,2.5776333808898926,1.3997300863265991,Restaurant
11,Musée Masséna,7.9788079261779785,-3.9170854091644287,1.4833927154541016,4.696524143218994,-3.2224626541137695,4.69993257522583,6.07129430770874,4.422737121582031,0.31095296144485474,5.292964458465576,1.618038535118103,5.604689121246338,1.8388917446136475,2.051459789276123,-6.67818021774292,-3.623121976852417,7.215631484985352,-1.126085638999939,5.187262535095215,2.616105556488037,Entertainment
12,Hard Rock Cafe Nice,0.6984241604804993,-8.357397079467773,1.3881715536117554,0.5736494064331055,-2.732689380645752,1.9853945970535278,-0.11445655673742294,3.1196959018707275,3.7874464988708496,7.764606475830078,8.624420166015625,0.984424889087677,0.590314507484436,-4.031218528747559,4.0459747314453125,-2.3786067962646484,-1.8045475482940674,-0.6308184266090393,1.8811593055725098,0.3318866789340973,Restaurant
13,Le Méridien Nice,3.1113922595977783,-4.640820026397705,1.6411954164505005,-0.5738805532455444,0.9843963980674744,1.6352920532226562,3.0723717212677,3.516787528991699,-0.949848473072052,1.38853120803833,6.198076248168945,-0.2983319163322449,3.880605936050415,-2.3046257495880127,-2.051405191421509,0.09203209728002548,3.1149134635925293,-0.13050737977027893,1.999640941619873,3.9250307083129883,Restaurant
14,Louis Vuitton,0.6093171238899231,-2.649312734603882,-1.9424350261688232,-1.8234659433364868,-1.1755869388580322,2.301065444946289,1.2662973403930664,2.675490379333496,3.0321335792541504,0.1705116331577301,-1.372201681137085,2.5741140842437744,1.0998057126998901,-5.882303237915039,-3.0730526447296143,-11.001335144042969,2.854170322418213,-0.30277174711227417,1.1129602193832397,-0.9544143080711365,Shopping
15,Buffalo Grill,2.7391769886016846,-5.947822570800781,2.7193946838378906,-3.504456043243408,0.34277430176734924,-3.1764752864837646,0.6196895837783813,-0.7009173035621643,0.26856255531311035,2.6497974395751953,4.653176784515381,-3.2103283405303955,5.033293724060059,-4.814016342163086,-0.7058888673782349,1.1876846551895142,0.6842072010040283,-0.08173618465662003,0.8659976124763489,0.4279341995716095,Restaurant
16,Le Hussard,3.852024555206299,-6.587777137756348,4.5594258308410645,2.2965993881225586,4.4352521896362305,-1.0691218376159668,5.94209098815918,2.5595526695251465,2.4170846939086914,3.6476387977600098,4.032781600952148,1.8970967531204224,-1.7257333993911743,-4.650049686431885,-1.731081247329712,0.9395520091056824,2.5782482624053955,3.119737148284912,-3.150161027908325,-0.9550613760948181,Restaurant
17,Le Tire Bouchon,2.6119043827056885,-3.8470563888549805,4.547104358673096,-2.7965095043182373,3.969329595565796,-0.9610528349876404,4.453289031982422,-4.728082656860352,-3.166692018508911,-2.2805919647216797,3.360896348953247,-1.0039066076278687,0.7798495292663574,-5.271939277648926,-0.0969950407743454,-1.7064543962478638,2.955038547515869,-0.2736017107963562,3.9020869731903076,2.4327704906463623,Restaurant
